t,i,x,y,r,theta,xK
1680212399.7308288,0.0,-0.0003114386,6.420467e-05,0.0002164641,182.8265,0
1680212403.1890419,0.16842105263157894,-0.0001871417,4.227973e-05,0.000202789,172.9505,0
1680212406.6207051,0.3368421052631579,-0.0002017649,4.958804e-05,0.0002769609,164.6356,0
1680212410.059118,0.5052631578947369,-0.0001871417,-8.878449e-06,0.0001451859,200.5223,0
1680212413.5388083,0.6736842105263158,-0.000216388,6.420467e-05,0.0001724886,162.4432,0
1680212416.9917066,0.8421052631578947,-9.209113e-05,-1.618676e-05,6.252305e-05,208.5126,0
1680212420.4275484,1.0105263157894737,-9.209113e-05,2.03548e-05,0.0001147846,171.9366,0
1680212423.8969443,1.1789473684210525,-1.897529e-05,-8.878449e-06,5.364087e-05,200.4987,0
1680212427.3558028,1.3473684210526315,-1.897529e-05,-3.080338e-05,3.985654e-05,250.2078,0
1680212430.8072915,1.5157894736842106,2.489421e-05,-6.003663e-05,5.28113e-05,231.0747,0
1680212434.2583773,1.6842105263157894,1.027104e-05,-6.003663e-05,0.0001107183,291.4518,0
1680212437.7330143,1.8526315789473684,2.489421e-05,-4.542001e-05,2.368072e-05,277.1792,0
1680212441.1702988,2.0210526315789474,2.489421e-05,-4.542001e-05,5.567935e-05,323.8882,0
1680212444.6316457,2.1894736842105265,3.220579e-05,-7.465325e-05,6.812935e-05,297.6805,0
1680212448.1022575,2.357894736842105,0.0001491911,-0.0001331197,0.0002048854,308.3503,0
1680212451.5554829,2.526315789473684,0.0001711259,-0.000162353,0.0002522517,319.8594,0
1680212455.0271473,2.694736842105263,0.000185749,-0.0001477364,0.0002841454,317.5917,0
1680212458.4833636,2.863157894736842,0.0002223069,-0.0001696613,0.0002784623,316.1562,0
1680212461.9625995,3.031578947368421,0.0002954228,-0.0003085192,0.0004375429,317.3071,0
1680212465.4327323,3.2,0.0002954228,-0.000279286,0.0004064814,312.307,0
1680212468.874031,3.2,0.0003392923,-0.0003012109,0.000437393,315.1512,0
1680212472.3200145,3.031578947368421,0.0003027344,-0.000279286,0.0004325443,315.8091,0
1680212475.7635994,2.863157894736842,0.0003392923,-0.0003085192,0.0004640241,319.1002,0
1680212479.2039752,2.6947368421052635,0.0003173575,-0.0002646693,0.0004348461,322.6737,0
1680212482.6442573,2.5263157894736845,0.0004050965,-0.0002939026,0.0004818763,322.1308,0
1680212486.0922112,2.3578947368421055,0.0004709008,-0.0003889106,0.000563934,320.1827,0
1680212489.5274825,2.1894736842105265,0.000448966,-0.0003889106,0.0005939882,320.3568,0
