t,i,x,y,r,theta,xK
1680214865.3868475,0.0,0.0007194947,-0.00225253,0.002387586,288.9353,0
1680214868.8669279,0.03232323232323232,0.0008145452,-0.002310997,0.002480348,288.3335,0
1680214872.3184133,0.06464646464646465,0.0007341178,-0.00225253,0.002332358,288.1641,0
1680214875.7769022,0.09696969696969697,0.0007414294,-0.00229638,0.002429181,288.3345,0
1680214879.223283,0.1292929292929293,0.000748741,-0.002325613,0.002447693,288.2824,0
1680214882.6899688,0.1616161616161616,0.0007268062,-0.00234023,0.002452293,288.9216,0
1680214886.1493857,0.19393939393939394,0.0008145452,-0.002332922,0.002449983,288.2793,0
1680214889.5919895,0.22626262626262628,0.0007268062,-0.002274455,0.002383349,287.9374,0
1680214893.0423381,0.2585858585858586,0.0007852989,-0.002332922,0.002499,289.2393,0
1680214896.5290508,0.2909090909090909,0.0008218568,-0.00238408,0.00254278,289.334,0
1680214899.970147,0.3232323232323232,0.0008584147,-0.002369463,0.002498651,289.4352,0
1680214903.417176,0.35555555555555557,0.0007633641,-0.00234023,0.002466252,288.6026,0
1680214906.8836803,0.3878787878787879,0.0007560526,-0.002332922,0.002487001,288.3884,0
1680214910.3378255,0.4202020202020202,0.0007706757,-0.002347538,0.002456922,288.1188,0
1680214913.790005,0.45252525252525255,0.0007706757,-0.002303688,0.002376375,286.9332,0
1680214917.2442777,0.48484848484848486,0.0006683135,-0.002267146,0.002345464,286.6273,0
1680214920.6957295,0.5171717171717172,0.0006975599,-0.002230605,0.00228524,287.3549,0
1680214924.1545157,0.5494949494949495,0.0006975599,-0.002245222,0.002394722,287.1415,0
1680214927.6210268,0.5818181818181818,0.0006683135,-0.002194064,0.002310393,286.2108,0
1680214931.0671082,0.6141414141414141,0.0006829367,-0.002267146,0.002340501,286.3843,0
1680214934.5198386,0.6464646464646464,0.0005878861,-0.002215988,0.002297255,285.7099,0
1680214937.9891007,0.6787878787878788,0.0006025092,-0.002237913,0.002372034,286.4046,0
1680214941.448699,0.7111111111111111,0.0007194947,-0.002303688,0.002416102,286.5623,0
1680214944.9011827,0.7434343434343434,0.0006098208,-0.002113672,0.002230516,285.6319,0
1680214948.380383,0.7757575757575758,0.0006610019,-0.002215988,0.002304283,286.7306,0
1680214951.858785,0.8080808080808081,0.0007048715,-0.002318305,0.002365676,285.8366,0
1680214955.327162,0.8404040404040404,0.0006463787,-0.002194064,0.002294307,286.0126,0
1680214958.8091545,0.8727272727272727,0.0006317556,-0.002245222,0.002299277,285.7099,0
1680214962.2575781,0.9050505050505051,0.0005440166,-0.001974814,0.002088559,284.6193,0
1680214965.7265415,0.9373737373737374,0.0006756251,-0.002215988,0.00230132,286.1882,0
1680214969.1956983,0.9696969696969697,0.0005951977,-0.002157522,0.002269164,286.9032,0
1680214972.6453984,1.002020202020202,0.0006902483,-0.002215988,0.002326483,285.6319,0
1680214976.1085193,1.0343434343434343,0.0006390671,-0.002237913,0.002345464,285.7906,0
1680214979.5502634,1.0666666666666667,0.0006975599,-0.00229638,0.002415621,286.9849,0
1680214983.016418,1.098989898989899,0.0006463787,-0.002259838,0.00233241,285.0819,0
1680214986.4766335,1.1313131313131313,0.000624444,-0.002186755,0.002260114,285.0958,0
1680214989.9391186,1.1636363636363636,0.0005659513,-0.002230605,0.002264065,284.015,0
1680214993.400917,1.195959595959596,0.0005513282,-0.002120981,0.002184291,283.6365,0
1680214996.8595595,1.2282828282828282,0.0005732629,-0.002179447,0.002237586,284.4755,0
1680215000.2923725,1.2606060606060605,0.0005074587,-0.002069822,0.002159525,283.6365,0
1680215003.7397907,1.2929292929292928,0.000485524,-0.002011356,0.001855982,279.8455,0
1680215007.205173,1.3252525252525253,0.0004562776,-0.002120981,0.002117955,282.3655,0
1680215010.6648517,1.3575757575757577,0.000361227,-0.002011356,0.001986423,277.5931,0
1680215014.1243834,1.38989898989899,-0.0002821923,-0.002413313,0.002382018,274.8042,0
1680215017.6054235,1.4222222222222223,-9.940271e-05,-0.002515629,0.002516212,272.3767,0
1680215021.0528073,1.4545454545454546,-0.0001067143,-0.002764112,0.003128221,253.6705,0
1680215024.519316,1.486868686868687,0.0004124081,-0.001879806,0.002058909,280.079,0
1680215028.0020392,1.5191919191919192,0.0004416544,-0.002457163,0.002419487,281.702,0
1680215031.4712007,1.5515151515151515,-0.000216388,-0.003151452,0.003038926,258.4141,0
1680215034.9534726,1.5838383838383838,-0.001071843,-0.00272757,0.003138637,255.4094,0
1680215038.4295232,1.6161616161616161,-0.0009183,-0.003136836,0.002579204,288.4977,0
1680215041.8889697,1.6484848484848484,0.001136255,-0.001996739,0.00233002,299.8707,0
1680215045.3421888,1.6808080808080808,0.001011958,-0.002018664,0.002197851,301.1545,0
1680215048.787324,1.713131313131313,0.001063139,-0.001879806,0.002190473,300.4645,0
1680215052.263602,1.7454545454545454,0.001136255,-0.001909039,0.002194081,300.7884,0
